"","rxddrgid","rxddrug","rxdingfl","rxddci1a","rxddci1b","rxddci1c","rxddci2a","rxddci2b","rxddci2c","rxddci3a","rxddci3b","rxddci3c","rxddci4a","rxddci4b","rxddci4c","rxdici1a","rxdici1b","rxdici1c","rxdici2a","rxdici2b","rxdici2c","rxdici3a","rxdici3b","rxdici3c","rxdici4a","rxdici4b","rxdici4c","rxdici5a","rxdici5b","rxdici5c","rxdici6a","rxdici6b","rxdici6c","rxddcn1a","rxddcn1b","rxddcn1c","rxddcn2a","rxddcn2b","rxddcn2c","rxddcn3a","rxddcn3b","rxddcn3c","rxddcn4a","rxddcn4b","rxddcn4c","rxdicn1a","rxdicn1b","rxdicn1c","rxdicn2a","rxdicn2b","rxdicn2c","rxdicn3a","rxdicn3b","rxdicn3c","rxdicn4a","rxdicn4b","rxdicn4c","rxdicn5a","rxdicn5b","rxdicn5c","rxdicn6a","rxdicn6b","rxdicn6c"
"569","d01278","LINDANE TOPICAL",1,133,136,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTI-INFECTIVES","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTI-INFECTIVES","","","","","","","","","","","","","","",""
"570","d01279","PERMETHRIN TOPICAL",1,133,136,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTI-INFECTIVES","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTI-INFECTIVES","","","","","","","","","","","","","","",""
"571","d01280","CROTAMITON TOPICAL",1,133,136,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTI-INFECTIVES","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTI-INFECTIVES","","","","","","","","","","","","","","",""
"572","d01282","ALCLOMETASONE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"573","d01283","AMCINONIDE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"574","d01288","CLOBETASOL TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"575","d01290","DESONIDE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"576","d01291","DESOXIMETASONE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"577","d01292","DIFLORASONE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"578","d01293","FLUOCINOLONE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"579","d01294","FLUOCINONIDE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"580","d01295","FLURANDRENOLIDE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"581","d01296","FLUTICASONE",1,122,130,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,130,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","INHALED CORTICOSTEROIDS","","","","","","","","","","RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","INHALED CORTICOSTEROIDS","","","","","","","","","","","","","","",""
"582","d01298","HALOBETASOL TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"583","d01300","MOMETASONE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"584","d01307","SALICYLIC ACID TOPICAL",1,133,136,143,133,136,395,NA,NA,NA,NA,NA,NA,133,136,143,133,136,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ACNE AGENTS","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL KERATOLYTICS","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ACNE AGENTS","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL KERATOLYTICS","","","","","","","","","","","",""
"585","d01319","HYDROQUINONE TOPICAL",1,133,136,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL DEPIGMENTING AGENTS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL DEPIGMENTING AGENTS","","","","","","","","","","","","","","",""
"586","d01322","ALUMINUM CHLORIDE HEXAHYDRATE TOPICAL",1,133,136,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","MISCELLANEOUS TOPICAL AGENTS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","MISCELLANEOUS TOPICAL AGENTS","","","","","","","","","","","","","","",""
"587","d01332","HEXACHLOROPHENE TOPICAL",1,133,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","ANTISEPTIC AND GERMICIDES","","","","","","","","","","","TOPICAL AGENTS","ANTISEPTIC AND GERMICIDES","","","","","","","","","","","","","","","",""
"588","d01341","LOMUSTINE",1,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ALKYLATING AGENTS","","","","","","","","","","","ANTINEOPLASTICS","ALKYLATING AGENTS","","","","","","","","","","","","","","","",""
"589","d01348","MEGESTROL",1,20,24,NA,97,101,185,NA,NA,NA,NA,NA,NA,20,24,NA,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS","","","","","","","","","","","",""
"590","d01351","ESTRAMUSTINE",1,20,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","","","","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","","","","","","","","","","","","","","",""
"591","d01353","LEUPROLIDE",1,20,24,NA,97,101,279,NA,NA,NA,NA,NA,NA,20,24,NA,97,101,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","GONADOTROPIN-RELEASING HORMONE AND ANALOGS","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","GONADOTROPIN-RELEASING HORMONE AND ANALOGS","","","","","","","","","","","",""
"592","d01354","GOSERELIN",1,20,24,NA,97,101,279,NA,NA,NA,NA,NA,NA,20,24,NA,97,101,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","GONADOTROPIN-RELEASING HORMONE AND ANALOGS","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","GONADOTROPIN-RELEASING HORMONE AND ANALOGS","","","","","","","","","","","",""
"593","d01368","INTERFERON ALFA-2A",1,20,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC INTERFERONS","","","","","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC INTERFERONS","","","","","","","","","","","","","","","",""
"594","d01369","INTERFERON ALFA-2B",1,20,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC INTERFERONS","","","","","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC INTERFERONS","","","","","","","","","","","","","","","",""
"595","d01373","HYDROXYUREA",1,20,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTIMETABOLITES","","","","","","","","","","","ANTINEOPLASTICS","ANTIMETABOLITES","","","","","","","","","","","","","","","",""
"596","d01386","YOHIMBINE",1,113,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENITOURINARY TRACT AGENTS","IMPOTENCE AGENTS","","","","","","","","","","","GENITOURINARY TRACT AGENTS","IMPOTENCE AGENTS","","","","","","","","","","","","","","","",""
"597","d01387","ALPROSTADIL",1,40,53,NA,113,263,NA,NA,NA,NA,NA,NA,NA,40,53,NA,113,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS","","GENITOURINARY TRACT AGENTS","IMPOTENCE AGENTS","","","","","","","","CARDIOVASCULAR AGENTS","VASODILATORS","","GENITOURINARY TRACT AGENTS","IMPOTENCE AGENTS","","","","","","","","","","","","",""
"598","d01389","DISULFIRAM",1,57,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","DRUGS USED IN ALCOHOL DEPENDENCE","","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","DRUGS USED IN ALCOHOL DEPENDENCE","","","","","","","","","","","","","","","",""
"599","d01394","PROCAINE",1,105,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","LOCAL INJECTABLE ANESTHETICS","","","","","","","","","","","MISCELLANEOUS AGENTS","LOCAL INJECTABLE ANESTHETICS","","","","","","","","","","","","","","","",""
"600","d01402","DEFEROXAMINE",1,105,106,NA,105,107,NA,NA,NA,NA,NA,NA,NA,105,106,NA,105,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","ANTIDOTES","","MISCELLANEOUS AGENTS","CHELATING AGENTS","","","","","","","","MISCELLANEOUS AGENTS","ANTIDOTES","","MISCELLANEOUS AGENTS","CHELATING AGENTS","","","","","","","","","","","","",""
"601","d01406","NALTREXONE",1,57,378,NA,105,106,NA,NA,NA,NA,NA,NA,NA,57,378,NA,105,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","DRUGS USED IN ALCOHOL DEPENDENCE","","MISCELLANEOUS AGENTS","ANTIDOTES","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","DRUGS USED IN ALCOHOL DEPENDENCE","","MISCELLANEOUS AGENTS","ANTIDOTES","","","","","","","","","","","","",""
"602","d01411","MESNA",1,20,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC DETOXIFYING AGENTS","","","","","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC DETOXIFYING AGENTS","","","","","","","","","","","","","","","",""
"603","d01423","POTASSIUM CITRATE",1,113,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENITOURINARY TRACT AGENTS","URINARY PH MODIFIERS","","","","","","","","","","","GENITOURINARY TRACT AGENTS","URINARY PH MODIFIERS","","","","","","","","","","","","","","","",""
"604","d01425","FLAVOXATE",1,113,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENITOURINARY TRACT AGENTS","URINARY ANTISPASMODICS","","","","","","","","","","","GENITOURINARY TRACT AGENTS","URINARY ANTISPASMODICS","","","","","","","","","","","","","","","",""
"605","d01427","BETHANECHOL",1,113,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENITOURINARY TRACT AGENTS","MISCELLANEOUS GENITOURINARY TRACT AGENTS","","","","","","","","","","","GENITOURINARY TRACT AGENTS","MISCELLANEOUS GENITOURINARY TRACT AGENTS","","","","","","","","","","","","","","","",""
"606","d01433","ACETOHYDROXAMIC ACID",1,113,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENITOURINARY TRACT AGENTS","MISCELLANEOUS GENITOURINARY TRACT AGENTS","","","","","","","","","","","GENITOURINARY TRACT AGENTS","MISCELLANEOUS GENITOURINARY TRACT AGENTS","","","","","","","","","","","","","","","",""
"607","d01434","METHOXSALEN",1,105,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","PSORALENS","","","","","","","","","","","MISCELLANEOUS AGENTS","PSORALENS","","","","","","","","","","","","","","","",""
"608","d02377","DEXTRAN 1",1,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLASMA EXPANDERS","","","","","","","","","","","","PLASMA EXPANDERS","","","","","","","","","","","","","","","","",""
"609","d03008","INTERFERON GAMMA-1B",1,254,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMMUNOLOGIC AGENTS","INTERFERONS","","","","","","","","","","","IMMUNOLOGIC AGENTS","INTERFERONS","","","","","","","","","","","","","","","",""
"610","d03034","NORGESTREL",1,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS","","","","","","","","","","","","","","",""
"611","d03041","ENOXAPARIN",1,81,82,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,82,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COAGULATION MODIFIERS","ANTICOAGULANTS","HEPARINS","","","","","","","","","","COAGULATION MODIFIERS","ANTICOAGULANTS","HEPARINS","","","","","","","","","","","","","","",""
"612","d03050","LORATADINE",1,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES","","","","","","","","","","","RESPIRATORY AGENTS","ANTIHISTAMINES","","","","","","","","","","","","","","","",""
"613","d03051","INTERFERON BETA-1B",1,254,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMMUNOLOGIC AGENTS","INTERFERONS","","","","","","","","","","","IMMUNOLOGIC AGENTS","INTERFERONS","","","","","","","","","","","","","","","",""
"614","d03052","HYDROCHLOROTHIAZIDE; TRIAMTERENE",2,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,155,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","POTASSIUM-SPARING DIURETICS","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","","","","","","","","","","","",""
"615","d03061","BUTALBITAL",1,57,67,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BARBITURATES","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BARBITURATES","","","","","","","","","","","","","","",""
"616","d03071","DIPHENOXYLATE",1,87,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","ANTIDIARRHEALS","","","","","","","","","","","GASTROINTESTINAL AGENTS","ANTIDIARRHEALS","","","","","","","","","","","","","","","",""
"617","d03075","HYDROCODONE",1,57,58,60,122,124,NA,NA,NA,NA,NA,NA,NA,57,58,60,122,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NARCOTIC ANALGESICS","RESPIRATORY AGENTS","ANTITUSSIVES","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NARCOTIC ANALGESICS","RESPIRATORY AGENTS","ANTITUSSIVES","","","","","","","","","","","","",""
"618","d03085","PEPSIN",1,87,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","DIGESTIVE ENZYMES","","","","","","","","","","","GASTROINTESTINAL AGENTS","DIGESTIVE ENZYMES","","","","","","","","","","","","","","","",""
"619","d03112","NEDOCROMIL",1,122,130,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,130,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","MAST CELL STABILIZERS","","","","","","","","","","RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","MAST CELL STABILIZERS","","","","","","","","","","","","","","",""
"620","d03125","DIHYDROTACHYSTEROL",1,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","","","","","",""
"621","d03126","CALCITRIOL",1,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","","","","","",""
"622","d03128","ERGOCALCIFEROL",1,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","","","","","",""
"623","d03135","PHYTONADIONE",1,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","NUTRITIONAL PRODUCTS","VITAMINS","","","","","","","","","","","","","","","",""
"624","d03151","RAUWOLFIA SERPENTINA",1,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING","","","","","","","","","","","","","","","",""
"625","d03157","PAROXETINE",1,242,249,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,249,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSYCHOTHERAPEUTIC AGENTS","ANTIDEPRESSANTS","SSRI ANTIDEPRESSANTS","","","","","","","","","","PSYCHOTHERAPEUTIC AGENTS","ANTIDEPRESSANTS","SSRI ANTIDEPRESSANTS","","","","","","","","","","","","","","",""
"626","d03158","RIMANTADINE",1,1,7,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","ADAMANTANE ANTIVIRALS","","","","","","","","","","ANTI-INFECTIVES","ANTIVIRAL AGENTS","ADAMANTANE ANTIVIRALS","","","","","","","","","","","","","","",""
"627","d03160","SUMATRIPTAN",1,57,58,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","ANTIMIGRAINE AGENTS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","ANTIMIGRAINE AGENTS","","","","","","","","","","","","","","",""
"628","d03165","PIPERACILLIN; TAZOBACTAM",2,1,13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,223,1,13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","PENICILLINS","BETA-LACTAMASE INHIBITORS","","","","","","","","","","ANTI-INFECTIVES","PENICILLINS","ANTIPSEUDOMONAL PENICILLINS","ANTI-INFECTIVES","PENICILLINS","BETA-LACTAMASE INHIBITORS","","","","","","","","","","","",""
"629","d03166","CISAPRIDE",1,87,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","GI STIMULANTS","","","","","","","","","","","GASTROINTESTINAL AGENTS","GI STIMULANTS","","","","","","","","","","","","","","","",""
